,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
64,64,0,0,0,0,0.0,213,264,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,1,0,0,0,0,27,0,18286,3,0,0.0,0,-132,107,239,43,True,0,0.0,0.0,0.0,0.0,0.0
65,65,0,0,0,0,0.0,213,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,3,0,0,0,0,29,0,18185,1,2,0.0,0,-26,156,182,43,False,0,0.0,0.0,0.0,0.0,0.0
66,66,0,0,0,0,0.0,213,293,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,19,0,0,0,0,30,0,18137,1,0,0.0,0,-85,91,176,43,True,0,0.0,0.0,0.0,0.0,0.0
67,67,0,0,0,0,0.0,213,303,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,8,0,0,0,0,31,0,18172,3,1,0.0,0,-22,129,151,43,False,0,0.0,0.0,0.0,0.0,0.0
68,68,0,0,0,0,0.0,213,316,0,0,0.0,0.0,2023-04-22T11:30:00Z,0,11,0,0,0,0,32,0,18332,1,2,0.0,0,-25,148,173,43,True,0,0.0,0.0,0.0,0.0,0.0
69,69,0,0,0,0,0.0,213,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,0,2,0,0,0,0,33,0,18163,0,1,0.0,0,-24,103,127,43,False,0,0.0,0.0,0.0,0.0,0.0
70,70,0,0,0,0,0.0,213,336,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,13,0,0,0,0,34,0,18156,2,1,0.0,0,-89,125,214,43,True,0,0.0,0.0,0.0,0.0,0.0
71,71,0,0,0,0,0.0,213,276,0,0,0.0,0.0,2023-05-03T19:00:00Z,0,12,0,0,0,0,34,0,18156,0,1,0.0,0,-89,125,214,43,False,0,0.0,0.0,0.0,0.0,0.0
72,72,0,0,0,0,0.0,213,343,0,0,0.0,0.0,2023-05-08T14:00:00Z,0,10,0,0,0,0,35,0,18078,3,5,0.0,0,-59,94,153,43,True,0,0.0,0.0,0.0,0.0,0.0
73,73,0,0,0,0,0.0,213,360,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,17,0,0,0,0,36,0,18102,2,0,0.0,0,-11,84,95,43,False,0,0.0,0.0,0.0,0.0,0.0
