,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
62,62,62,0,0,8,1,14.2,309,105,0,0,2.2,1.8,2023-11-05T16:30:00Z,65,12,0,0,0,0,11,0,675500,1,1,6.0,3,124257,142273,18016,71,False,0,0.05,0.07,0.02,0.37,1.0,4
63,63,63,2,3,44,1,64.4,309,97,0,0,13.3,53.6,2023-10-29T14:00:00Z,90,16,0,0,0,0,10,0,540062,0,3,15.0,12,-39999,17996,57995,70,True,0,0.74,0.8,0.06,0.45,1.0,4
64,64,64,0,0,14,1,58.8,309,85,0,0,8.4,11.0,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,579289,0,2,14.0,3,19297,52367,33070,70,True,0,0.18,0.31,0.13,0.13,1.0,4
65,65,65,1,0,24,0,47.6,309,72,2,0,7.6,18.4,2023-10-08T13:00:00Z,90,5,0,0,0,0,8,0,552098,2,2,10.0,4,7110,54906,47796,70,False,1,0.61,0.62,0.01,2.3,1.0,4
66,66,66,0,0,19,0,20.0,309,68,2,0,4.9,22.0,2023-09-30T16:30:00Z,90,18,0,0,0,0,7,0,536920,1,2,7.0,2,14148,64151,50003,70,False,0,0.04,0.05,0.01,2.1,1.0,4
67,67,67,0,0,17,0,56.8,309,57,1,0,8.1,17.4,2023-09-24T13:00:00Z,90,19,0,0,0,0,6,0,513981,1,3,7.0,2,13495,50265,36770,70,True,0,0.36,0.44,0.08,1.11,1.0,4
68,68,68,0,0,15,0,19.2,309,50,1,0,5.6,19.0,2023-09-16T11:30:00Z,90,20,0,0,0,0,5,0,496509,3,1,18.0,2,95640,123434,27794,70,False,0,0.07,0.22,0.15,0.63,1.0,4
69,69,69,0,2,33,1,35.5,309,37,0,1,8.5,37.6,2023-09-03T13:00:00Z,90,2,0,0,0,0,4,0,366754,0,3,12.0,10,-26341,18927,45268,70,True,0,0.34,0.41,0.07,0.66,1.0,4
70,70,70,0,0,10,0,15.3,309,29,1,0,2.9,8.6,2023-08-27T15:30:00Z,90,15,0,0,0,0,3,0,380525,2,1,5.0,2,11745,52151,40406,70,False,0,0.02,0.09,0.07,2.0,1.0,4
71,71,71,1,0,26,0,15.9,309,14,1,0,5.3,15.2,2023-08-19T14:00:00Z,90,3,0,0,0,0,2,0,340429,1,3,22.0,5,-10856,26038,36894,70,True,0,0.05,0.17,0.12,1.29,1.0,4
